word,count
madrid ,20
tres,51
siglos,29
cartografía,202
detalles,159
07,3
marzo,19
catálogo,22
exposición,24
cartografía ,43
ciudad,55
comunidad,34
biblioteca,23
regional» ,3
celebró,6
madrid,39
 esp ,2
primavera,3
comisariada,2
javier,21
ortega,5
vidal,4
francisco,22
marín,2
perellón ,2
leer,22
más   ,12
españa ,39
puente,7
continentes,8
11,8
febrero,13
constituye,9
aportación,13
española,37
34º,3
congreso,57
unión,12
geográfica,284
internacional,20
iba,3
celebrar,5
estambul,2
finalmente,8
va,9
agosto,16
2021 ,3
sistemas,169
información,375
aplicaciones,48
análisis,237
clasificación,24
espacial,96
cambios,22
usos,24
suelo,16
gustavo,21
d ,21
buzai,14
02,4
notable,5
vocación,7
autor,35
brinda,6
material,21
excelente,20
nivel,32
zonas,17
marginales,2
urbano rural ,3
buenas,27
prácticas,43
casos,34
éxito,13
gestión,95
geoespacial,30
08,3
enero,15
versión,25
recopilación,16
labor,14
realizada,11
diferentes,66
instituciones,22
chile,33
materia,16
atlas,152
amenazas,21
desastres,16
03,9
diciembre,10
tardado,2
años,45
recopilar,2
realizar,21
mapas,171
chile» ,2
patrocinado,2
instituto,78
panamericano,9
geografía,255
historia,128
chilefliying,3
werobotics ,2
actividades,24
visualizadores,8
bachillerato ,6
utilización,25
iberpix,9
comparador,7
ortofotos,8
ign,13
enorme,15
fuerza,5
didáctica,4
herramienta,26
enseñanza,17
disciplinas,11
afines,4
aula ,2
programa,33
copernicus,12
monitorización,10
territorio,86
objetivos,21
desarrollo,90
sostenible,17
05,5
junio,22
manual,61
consulta,11
europeo,6
observación,14
tierra ,17
elaborado,10
uso,72
personal,9
organismos,9
públicos,4
dedicados,12
territorio ,44
américa,42
latina ,8
humana,26
cuenca,15
río,21
luján,22
22,6
mayo,20
encontramos,6
misma,19
obra,71
fuente,5
obtener,18
municipios ,4
metodología,34
aplicada,35
sig ,25
geopolítica ,12
discurso,9
geográfico,54
mediados,9
siglo,68
xix,21
colombia,33
14,7
construyó,2
idea,18
nacional,110
partir,43
estudio,60
fuentes,28
geográficas,23
cartográficas ,7
instrucciones,11
técnicas,49
básicas,16
toponimia,21
navarra,12
publicación ,4
editada,4
bilingüe ,2
objetivo,43
ofrecer,8
hora,7
emplear,2
oficial,8
señalética,3
publicaciones ,5
mortalidad,9
debida,8
enfermedades,23
raras,13
impresa,5
servicio,25
investigación ,15
docencia,6
difusión,20
científica ,5
imprescindible,11
lograr,5
mejorar,16
conocimiento,47
procesos,28
patológicos ,2
magallanes ,11
hombre,11
gesta,10
29,5
capitán,10
swing,4
reedita,3
mimo,2
obras,26
importantes,14
figura,8
navegante,2
circunvalación,2
tierra,29
narrada,3
forma,79
magistral,3
stefan,8
zweig ,3
1,32
12,8
inicioanterior12345678910siguientefinal,1
cultura,20
menos ,5
si ,3
gracias,15
lemónov» ,1
hoy,22
reconocemos,1
emmanuel,1
carrère,1
 paris ,1
1957 ,1
escritor,3
especialmente,11
capacitado,1
ejercer,1
narrativa,1
discurre,2
medio,34
camino,4
periodismo,1
biografía,3
novelada ,1
zweig,12
 1881 1942 ,1
maestro ,1
escritores,1
clásicos,2
género,3
buena,10
prueba,2
ello ,9
haber,3
unas,21
15,15
biografías ,1
incluye,20
américo,1
vespucio ,1
relato,3
error,2
histórico,23
reeditada,2
acantilado ,1
1936 ,3
brasil ,8
viaje,14
transatlántico,1
europa,6
lleno,4
comodidades ,1
queda,1
fascinado,2
vida,9
mar,19
debieron,1
llevar,4
primeros,9
exploradores,4
descubridores ,1
barco,2
empieza,3
escribir,5
llenando,1
cuadernos,5
anotaciones,3
borradores ,1
diario,1
sabemos,1
leyó,1
geschichte,1
der,1
entdeckungsreisen,1
und,3
schifffahrten,1
zur,1
magellan's,1
straße,1
den,1
ihr,1
benachbarten,1
ländern,1
meeren,1
 1877 ,1
johann,1
georg,2
kohl ,1
historiador,4
geógrafo,13
alemán ,1
época,10
prestigio,4
escrito,14
práctica,16
totalidad,2
biografías,1
ampliamente,3
reconocido ,1
incluida,1
celebrada,4
maría,6
antonieta ,1
siempre,10
documentación,7
exhaustiva ,1
tema,13
fascina,1
escribiría,1
introducción,53
pese,1
ajustarse,1
documentos,8
fidedignos,1
singular,2
sensación,1
contar,9
inventado,1
verdad,2
parece,7
inverosímil» ,1
vuelta,6
continúa,2
trabajando,1
libro ,51
completó,2
otoño,1
1937,1
publicarse,1
principios,10
1938 ,1
vía,1
digital,30
literaturarchivs,1
salzburg,1
hazaña,3
motivos,2
sobrados,1
afirmación,2
así ,14
mundo,69
volvió,1
ser,54
mismo,16
después,14
expedición,11
cierra,2
ciclo,2
comenzó,7
primeras,5
exploraciones,5
portuguesas,1
continua,5
descubrimiento,4
europeos,2
1492 ,1
cincuenta,3
bastado,1
crear,8
conectado,1
totalidad ,2
primera,41
globalización,7
mundialización ,1
¿el,1
motivo,5
viaje ,4
comercio ,1
principio,3
especias   ,1
así,52
arranca,2
biografía ,1
llama,4
atención,10
nación,5
predilecta,1
cristiandad,1
xvi ,9
acabase,1
financiando,1
demostraría,1
empíricamente,2
esfericidad,1
mundo ,21
hecho,11
conocía,1
ahora,16
hacía,2
amplio,11
conectado ,1
magallanes,10
siguiendo,12
viendo,1
increíble ,1
acerca,9
si,43
personaje,2
ficción ,1
aventura ,3
acaba,9
atrapado,1
personaje ,1
defiende,2
cada,58
pasajes,1
narra ,1
soldado,1
anónimo,1
notados» ,1
leal,1
adusto ,1
serio,1
héroe,2
final ,1
increíble,2
voluntad,1
capacidad,9
supervivencia ,3
retrata,1
condiciones,10
económicas,5
políticas,18
comienzo,2
tiempo,21
descubre,2
debilidades,1
pasiones,1
condición,4
humana ,1
discusión,2
villanos ,1
traidor,1
cosecha,1
gloria,1
honores,1
inmerecida» ,1
precisamente,2
aquel,2
que ,12
momento,12
decisivo ,1
quiso,1
poner,4
obstáculos,1
realización,5
levantó,1
juan,34
sebastian,1
elcano» ,1
según,20
leas,1
portugués,1
elcano ,2
puede,75
negar,2
talento,2
particular,6
estilo,8
literario,1
altura,2
intelectual ,2
grande,1
proeza,1
exploración,2
jamás,1
consideraba,1
1937 ,1
clásico,1
lectura,11
quieran,5
acercar,6
tiempo ,5
puedes,49
adicional,4
título ,39
17,11
 impreso ,6
978 84 949668 5 9,2
264,1
latina,25
riesgos,19
universidad,124
bernardo,3
higgins,1
 ubo ,1
presentar,7
dirigido,13
fabiola,2
barrenechea ,1
directora,3
observatorio,6
riesgo,33
 ogrd ,1
citada,1
universidad ,3
centra,8
definido,2
comunas,3
prioritarias,1
desastres ,7
cuales,8
corresponden,2
a ,6
sismos ,2
peligro,3
volcánico ,2
frontales ,4
incendios,4
forestales,6
remociones,2
masa ,2
asunto,3
menor ,3
además,54
tragedia,1
víctimas,4
mortales ,1
ocupa,1
noveno,1
puesto,4
países,32
dinero,1
gastado,1
reparar,2
daños,2
producidos,2
naturales ,8
desembolsando,1
1992,1
31 000,1
millones,3
dólares ,2
pretende,15
prevención,6
catástrofes,2
facilitar,12
toma,14
decisiones,20
tomar,9
estrategia,3
reducir,3
materiales ,2
afirma,2
ogrd ,1
revela,2
crucial,1
recursos,43
prevención ,2
dado,10
mayor,33
parte,82
asignan,1
respuestas,3
preventivo ,2
sentido ,9
saber,8
afectadas,3
cierto,2
tipo,22
eventos ,2
permite,27
planificar,2
acciones,10
concretas,2
autoridades ,1
ejemplo ,6
normal,1
pensar,5
zona,5
sur,6
afectada,2
embargo ,4
norte,2
ve,7
fuertemente,1
afectada ,1
viviendas,6
territorios,10
adaptados,1
lluvias ,1
punto,22
resulta,2
importante ,7
cambio,21
climático,3
significar,1
eventos,9
repitan,1
vez,28
manera,35
frecuente» ,1
estructura,33
torno,10
mencionados,2
antes ,2
previamente,2
presentan,22
conceptos,22
fundamentales,9
situación,10
contexto,15
nacional ,14
finaliza,5
prioritarias ,1
requieren,3
preferencia,1
planificación,49
territorial,46
plan,4
destaca,24
ogrd,1
utilizada ,1
basada,6
cuantitativo,4
tratamiento,32
estadístico,21
datos ,26
trabajo,57
realizado,14
apoyo,17
ayudantes,1
alumnos,2
facultad,7
ingeniería ,4
ciencia,26
tecnología,13
ubo ,1
poder,12
determinar,4
afectación,4
investigadores,13
contactaron,1
municipalidades,1
solicitaron,1
ayuda,9
oficina,4
emergencia,2
ministerio,20
interior ,2
trabajado,1
mapas ,35
proyecto,32
contado,4
patrocinio,1
 ipgh ,3
werobotics,1
 eeuu  ,2
descargar,62
o'higgins ,1
barrenechea,1
o'higgins,1
junto,14
  pdf ,49
978 956 401 732 7,1
95,1
proporciona,3
visión,23
sistémica,2
actualizada,9
distribuciones,3
espaciales,69
variables,8
físico humanas,1
ambientales sociales,1
luján ,5
noreste,1
provincia,8
buenos,13
aires,8
argentina ,13
surge,5
resultados,22
proyectos,18
investigación,80
científica,13
financiados,1
agencia,7
promoción,3
tecnológica,4
 anpcyt  ,1
fondo,3
artes,9
 fna  ,1
sumar,1
conocimientos,18
adquiridos,1
trabajos,26
previos,4
socio demográfico ,1
económico,2
ambiental,12
 buzai ,1
2002  ,1
distribuye,4
dos,49
versiones ,1
impreso,6
papel,18
soporte,2
disponible,11
cd ,2
bases,20
datos,173
permiten,17
seguir,9
didáctico,7
grandes,33
aciertos,2
atlas ,9
usuario,7
 sig  ,12
temática,30
basado,14
qgis ,3
inclusión,6
glosario,6
términos,16
geográficos ,11
señalan,16
autores,48
proporcionar,8
usuarios,10
aspectos,40
centrales,4
surgidas,4
cobertura,2
alfanuméricos,1
censales ,1
considerar,5
mapa,76
principal,12
lenguaje,11
presta,2
gran,38
correcta,4
cartográfico,21
ámbito,30
temática ,4
semiología,1
gráfica,10
utilizados,5
instancias,2
análisis» ,1
contenido,16
dividido,13
en ,2
área,10
teoría,25
municipal,7
urbano,17
anexo,7
i ,6
base,30
ii ,6
geográficos,23
teórico,6
aportaciones,20
realidad,17
socioespacial ,1
convierte,1
producto,5
real ,5
tangible ,1
amplían,1
posibilidades,9
utilizado,8
creación,13
iniciarse,3
mediante,26
software,19
libre,22
investigaciones,22
 inigeo  ,1
encontraras,5
publicaciones,24
interés,15
buzai ,11
sonia,3
l ,4
lanzelotti,3
 directores ,1
 inigeo ,4
argentina,31
978 987 47450 1 9,1
 digital ,2
978 987 47450 0 2,1
 edición,15
impresa ,4
289,1
trata,34
publicación,52
especial,12
unidades,13
administrativas,3
dentro,22
administración,5
foral,2
 españa  ,10
emplean,4
habitualmente,5
topónimos ,4
tales,6
señales ,1
servicios,19
emergencias ,3
catastro,4
postales ,2
extraído,3
introducción ,3
documento,17
señalización,1
dar,15
homogeneidad,1
concordancia,2
criterios,8
establecidos,1
estatal ,1
menor,3
corresponde,2
nombres,7
elementos,15
menores,3
 parajes ,1
orografía ,2
hidrografía,2
oficializada,1
sucesivos,1
decretos,2
forales ,1
fundamentalmente ,2
1991 1995 ,1
recogen,8
realizados,8
bajo,12
dirección,8
josé,47
jimeno,1
jurío,1
publicaron,3
colección,24
navarra ,6
59,1
ejemplares ,2
dando,8
listas,2
municipios,6
entidades,6
situados,2
correspondiente ,1
asimismo ,6
 entidades,1
locales,13
población ,4
comarcas    ,1
forales,1
acuerdos,2
gobierno,14
parte ,16
denominaciones,2
núcleos,1
población,10
normalizadas,2
real,44
academia,25
lengua,3
vasca euskaltzaindia,1
oficiales ,3
gobiernode,1
vascohablante,1
recogieron,1
normalización,5
lingüística,1
nomenclátor,1
localidades ,1
año,12
2000 ,2
conseguir,7
rápida,2
posición,3
utiliza,6
denavarra,1
 cartografía ,1
direcciones,2
catastro ,3
actuaciones,3
administrativas  ,1
lado ,6
esparte,1
patrimonio,29
cultural,12
inmaterial ,2
importante,17
vista,16
lengua ,3
especialmente ,2
analizar,12
evolución ,3
euskera,1
castellano ,1
aportan,3
historia ,16
costumbres,1
sociedad» ,1
hablado,7
varias,5
veces,5
toponimia ,2
destancando,1
importancia,28
topónimos,2
lugares,28
juegan,2
geocodificación ,1
geocodificación,1
direcciones ,2
asignatura,5
pendiente ,2
aplicación,47
administraciones,3
públicas,11
y ,16
fomentarán,1
ámbitos,9
sociedad,35
navarro,3
euskera euskarabidea,2
mikel,1
belasko,1
ortega ,1
andres,1
iñigo,1
ariztegi ,1
paula,1
kasares,1
corrales ,1
aingeru,1
mikeo,1
azpirotz,1
 pdf ,13
na,1
1580 2019,1
 depósito,1
legal ,3
72,4
geopolítica   ,1
aborda,13
cartográficos,14
construcción,19
periodo,6
específico,3
xix ,8
patrias,1
surgen,3
decreto,3
generación,16
espontánea ,1
podemos,7
entender,10
esfuerzos,4
responsables,6
nuevo,18
república,8
1820,1
búsqueda,6
reconocimiento,4
diplomático,1
nueva,25
república ,1
artículo,10
granada,5
 colombia ,1
explica,21
lucía,4
duque ,1
autora,7
acontecimientos,1
relevantes,5
esfuerzo,7
representar,5
conjunto ,1
ello,19
buscó,1
hacer,11
trazado,2
general,28
física ,2
límites,7
vecinos,2
división,3
interna ,2
estrecho,1
vínculo,3
principales,28
símbolos,1
naciente,1
estado ,6
nacional» ,1
largo,30
plantea,6
hipótesis,3
noción,2
habitual,7
bien,13
asimilada ,1
proceso,16
elaboración ,4
basa,5
herramientas,36
esenciales ,1
geográfico ,6
aquí,7
presenta ,3
incorpora,7
conjunto,28
diferente,1
–regionales ,1
hidrográficos,1
país–,1
volumen,13
textos,16
relatos,6
hilvanados,1
complejo,2
lineal,3
través,59
elaborando,1
límites ,1
paisaje,14
representación,35
habitantes,11
desmonta,1
mirada,5
predominante,1
agustín,1
codazzi,1
comisión,10
corográfica,1
propone,6
tejido,2
hacen,7
llamó,1
física,11
política,20
o ,4
unidos,4
colombia ,12
vistas,4
solamente,3
resultado,26
motivación,1
científicas ,2
sino,11
incorporadas,1
discusiones,1
trazadode,1
silueta,1
estatal,3
polémicas,1
debía,2
hacerse,2
administrativa,2
efecto,3
autora ,2
elaboraciones,1
iniciales,2
dan ,1
paradójicamente ,1
simultánea,1
implementar,2
modelo,25
federal,3
anécdota,2
curiosidades,2
gabinete» ,1
ver,10
cómo,37
contextos,9
sociales ,11
políticos,4
ideológicos,3
construyen,1
discursos,1
textuales,1
visuales,1
forjan,1
concepción,5
concreto,3
arte,8
capítulo,64
1 ,20
cartógrafos,14
geógrafos,22
exploran ,1
describen,7
representan,2
2 ,23
política ,3
rol,5
transición,2
hacia,11
